"Alachua County, Florida (FL001)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FL001oil ID,,,,,
14,Pomona sand ,"57,415.90",9.30%,FL00101062,,,,,
3,"Arredondo fine sand, 0 to 5 percent slopes ","54,523.10",8.80%,FL00101084,,,,,
8,"Millhopper sand, 0 to 5 percent slopes ","52,194.60",8.40%,FL00101063,,,,,
2,"Candler fine sand, 0 to 5 percent slopes ","25,046.10",4.00%,FL00101103,,,,,
50,Sparr fine sand ,"21,440.50",3.50%,FL00101058,,,,,
21,Newnan sand ,"20,631.40",3.30%,FL00101078,,,,,
17,Wauchula sand ,"18,053.60",2.90%,FL00101080,,,,,
30,"Kendrick sand, 2 to 5 percent slopes ","16,053.10",2.60%,FL00101065,,,,,
49,"Lochloosa fine sand, 0 to 2 percent slopes ","15,633.50",2.50%,FL00101100,,,,,
28,Chipley sand ,"14,886.60",2.40%,FL00101068,,,,,
39,"Bonneau fine sand, 2 to 5 percent slopes ","14,984.90",2.40%,FL00101067,,,,,
46,"Jonesville complex, 0 to 5 percent slopes ",,,FL00101075,,,,,
,"Cadillac complex, 0 to 5 percent slopes ",,,FL00101076,,,,,
13,Pelham sand ,"9,208.00",1.50%,FL00101071,,,,,
53,Shenks muck ,"6,309.40",1.00%,FL00101085,,,,,
33,"Norfolk loamy fine sand, 2 to 5 percent slopes ","5,305.50",0.90%,FL00101064,,,,,
51,Plummer fine sand ,"5,733.90",0.90%,FL00101101,,,,,
52,Ledwith muck ,"5,482.20",0.90%,FL00101086,,,,,
5,"Fort Meade fine sand, 0 to 5 percent slopes ","4,673.90",0.80%,FL00101074,,,,,
7,"Kanapaha sand, 0 to 5 percent slopes ","5,260.70",0.80%,FL00101099,,,,,
56,Wauberg sand ,"5,071.80",0.80%,FL00101088,,,,,
48,Myakka sand ,"4,328.80",0.70%,FL00101091,,,,,
55,"Lake sand, 0 to 5 percent slopes ","4,066.50",0.70%,FL00101089,,,,,
23,Mulat sand ,"3,812.20",0.60%,FL00101083,,,,,
59,Pottsburg sand ,"2,928.80",0.50%,FL00101090,,,,,
31,"Blichton sand, 0 to 2 percent slopes ","2,427.10",0.40%,FL00101098,,,,,
32,"Bivans sand, 2 to 5 percent slopes ","2,234.30",0.40%,FL00101097,,,,,
47,Candler- 0 to 5 percent slopes ,"1,762.70",0.30%,FL00101102,,,,,
,,,,,,,,,
,,,,,,,,,
"Baker County, Florida (FL003)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
47,Sapelo fine sand ,"27,571.90",7.30%,FL00302017,,,,,
23,Leon sand ,"23,205.80",6.20%,FL00302001,,,,,
33,Olustee complex ,"14,667.50",3.90%,FL00302003,,,,,
32,"Ocilla fine sand, 0 to 3 percent slopes ","12,742.20",3.40%,FL00302006,,,,,
43,Pottsburg sand ,"6,625.80",1.80%,FL00302020,,,,,
22,"Leefield fine sand, 0 to 5 percent slopes ","6,489.80",1.70%,FL00302005,,,,,
11,Boulogne sand ,"3,722.70",1.00%,FL00302021,,,,,
,,,,,,,,,
,,,,,,,,,
"Bay County, Florida (FL005)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,FLoil ID,,,,,
30,Pottsburg sand ,"49,249.70",8.70%,FL00503010,,,,,
13,Leon sand ,"39,938.20",7.10%,FL00503003,,,,,
25,Hurricane sand ,"37,197.50",6.60%,FL00503001,,,,,
9,"Lakeland sand, 0 to 5 percent slopes ","34,092.50",6.00%,FL00503019,,,,,
1,"Albany sand, 0 to 2 percent slopes ","28,801.00",5.10%,FL00503013,,,,,
20,"Foxworth sand, 0 to 5 percent slopes ","18,932.20",3.40%,FL00503016,,,,,
32,Plummer sand ,"17,348.60",3.10%,FL00503012,,,,,
23,"Chipley sand, 0 to 5 percent slopes ","12,747.20",2.30%,FL00503018,,,,,
26,"Centenary sand, 0 to 5 percent slopes ","10,854.10",1.90%,FL00503002,,,,,
28,Allanton sand ,"8,888.40",1.60%,FL00503014,,,,,
3,"Blanton fine sand, 0 to 5 percent slopes ","7,356.80",1.30%,FL00503017,,,,,
50,Pickney fine sand ,"7,296.10",1.30%,FL00503011,,,,,
52,Bayvi loamy sand ,"7,213.70",1.30%,FL00503008,,,,,
15,"Stilson sand, 0 to 5 percent slopes ","6,341.20",1.10%,FL00503015,,,,,
27,Mandarin sand ,"4,978.00",0.90%,FL00503006,,,,,
45,"Kureb sand, 0 to 5 percent slopes ","4,984.70",0.90%,FL00503005,,,,,
42,"Resota fine sand, 0 to 5 percent slopes ","4,560.60",0.80%,FL00503004,,,,,
41,Dirego muck ,"2,023.70",0.40%,FL00503007,,,,,
18,"Troup sand, 5 to 8 percent slopes ",451.6,0.10%,FL00503020,,,,,
,,,,,,,,,
,,,,,,,,,
"Bradford County, Florida (FL007)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
4,Mascotte sand ,"11,886.10",6.20%,FL00704009,,,,,
15,Pottsburg sand ,"4,599.40",2.40%,FL00704010,,,,,
19,Leon sand ,"3,790.10",2.00%,FL00704008,,,,,
20,Grifton frequently flooded ,"3,619.30",1.90%,FL00704003,,,,,
11,Allanton loamy sand ,"3,542.90",1.80%,FL00704005,,,,,
3,"Ocilla fine sand, 0 to 5 percent slopes ","2,904.60",1.50%,FL00704002,,,,,
13,"Hurricane sand, 0 to 5 percent slopes ","1,887.40",1.00%,FL00704004,,,,,
18,"Lakeland sand, 0 to 5 percent slopes ","1,192.60",0.60%,FL00704006,,,,,
,,,,,,,,,
,,,,,,,,,
"Brevard County, Florida (FL009)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
36,Myakka sand ,"67,229.40",7.60%,FL00905006,,,,,
19,Riviera sand ,"45,738.40",5.20%,FL00705013,,,,,
17,EauGallie sand ,"42,956.00",4.80%,FL00705008,,,,,
47,Pineda sand ,"23,595.00",2.70%,FL00705017,,,,,
24,"Felda soils,","13,550.80",1.50%,FL00705005,,,,,
9,Canaveral,"12,109.70",1.40%,FL00705051,,,,,
,Anclote,,,FL00705009,,,,,
7,Basinger sand ,"10,679.50",1.20%,FL00705016,,,,,
51,Pompano sand ,"11,046.00",1.20%,FL00705048,,,,,
16,Copeland-,"7,744.40",0.90%,FL00705047,,,,,
29,"Malabar sand, high ","6,704.20",0.80%,FL00705015,,,,,
43,"Paola fine sand, 0 to 5 percent slopes ","6,734.10",0.80%,FL00705002,,,,,
64,"Terra Ceia muck, frequently flooded ","7,317.50",0.80%,FL00705012,,,,,
26,Holopaw sand ,"6,452.80",0.70%,FL00705041,,,,,
42,Palm Beach sand ,"5,521.60",0.60%,FL00705050,,,,,
56,"St. Lucie fine sand, 0 to 5 percent slopes ","2,489.90",0.30%,FL00705027,,,,,
70,Valkaria sand ,"2,974.80",0.30%,FL00705010,,,,,
72,Welaka sand ,"2,969.20",0.30%,FL00705023,,,,,
15,Cocoa sand ,"1,925.70",0.20%,FL00705025,,,,,
63,Tavares fine sand ,"1,714.20",0.20%,FL00705025,,,,,
,,,,,,,,,
,,,,,,,,,
"Big Cypress Reservation, Broward County, Florida (FL616)",,,,,,FIP NUM 011,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
65,"Plantation muck, depressional ","2,073.30",21.10%,FL01106008,,,,,
23,"Hallandale sand, slough ",280.2,2.90%,FL01106003,,,,,
,,,,,,,,,
,,,,,,,,,
"Calhoun County, Florida (FL013)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
36,"Lakeland sand, 0 to 5 percent slopes ","22,982.50",6.30%,FL01307009,,,,,
67,"Alapaha loamy sand, 0 to 2 percent slopes ","20,635.90",5.60%,FL01307021,,,,,
32,"Fuquay loamy sand, 0 to 2 percent slopes ","12,749.70",3.50%,FL01307018,,,,,
39,"Leefield loamy sand, 0 to 5 percent slopes ","11,533.90",3.10%,FL01307016,,,,,
48,Pansey sandy loam ,"10,503.60",2.90%,FL01307004,,,,,
31,"Foxworth sand, 0 to 5 percent slopes ","10,381.70",2.80%,FL01307012,,,,,
2,"Albany loamy sand, 0 to 5 percent slopes ","9,484.30",2.60%,FL01307014,,,,,
61,"Troup sand, 0 to 5 percent slopes ","9,108.70",2.50%,FL01307013,,,,,
57,"Stilson loamy sand, 0 to 2 percent slopes ","8,360.00",2.30%,FL01307017,,,,,
55,Pottsburg sand ,"8,131.50",2.20%,FL01307015,,,,,
12,"Chipley sand, 0 to 5 percent slopes ","5,828.70",1.60%,FL01307011,,,,,
24,"Dunbar fine sandy loam, rarely flooded ","5,658.80",1.50%,FL01307020,,,,,
,"Dothan loamy sand, 2 to 5 percent slopes ","4,346.10",1.20%,FL01307001,,,,,
35,Hurricane sand ,"3,273.10",0.90%,FL01307007,,,,,
,,,,,,,,,
,,,,,,,,,
"Charlotte County, Florida (FL015)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
43,Smyrna fine sand ,"19,505.40",3.40%,FL01508007,,,,,
34,Malabar fine sand ,"12,961.70",2.20%,FL01508004,,,,,
9,EauGallie sand ,"11,914.00",2.10%,FL01508012,,,,,
70,Heights fine sand ,"10,244.20",1.80%,FL01508001,,,,,
12,Felda fine sand ,"8,363.20",1.50%,FL01508003,,,,,
56,Isles muck ,"4,785.20",0.80%,FL01508005,,,,,
19,Gator muck ,"2,280.20",0.40%,FL01508009,,,,,
29,Punta fine sand ,"1,465.50",0.30%,FL01508006,,,,,
57,"Boca fine sand, tidal ","1,605.00",0.30%,FL01508002,,,,,
20,Terra Ceia muck ,915,0.20%,FL01508010,,,,,
72,Bradenton fine sand ,642.8,0.10%,FL01508008,,,,,
,,,,,,,,,
,,,,,,,,,
"Citrus County, Florida (FL017)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
3,"Candler fine sand, 0 to 5 percent slopes ","74,101.00",16.00%,FL01709016,,,,,
14,"Lake fine sand, 0 to 5 percent slopes ","30,017.50",6.50%,FL01709005,,,,,
29,"Astatula fine sand, 0 to 5 percent slopes ","29,171.30",6.30%,FL01709014,,,,,
11,"Tavares fine sand, 0 to 5 percent slopes ","28,113.60",6.10%,FL01709012,,,,,
16,"Arredondo fine sand, 0 to 5 percent slopes ","18,409.10",4.00%,FL01709004,,,,,
2,Adamsville fine sand ,"11,160.50",2.40%,FL01709011,,,,,
39,Hallandale fine sand,"11,335.20",2.40%,FL01709017,,,,,
,Durbin mucks ,,,FL01709020,,,,,
40,Homosassa mucky fine sandy loam ,"6,688.70",1.40%,FL01709021,,,,,
35,"Sparr fine sand, 0 to 5 percent slopes ","4,474.30",1.00%,FL01709026,,,,,
36,EauGallie fine sand ,"3,992.50",0.90%,FL01709002,,,,,
18,"Kendrick fine sand, 0 to 5 percent slopes ","3,555.50",0.80%,FL01709023,,,,,
7,Myakka fine sand ,"3,337.80",0.70%,FL01709010,,,,,
28,Redlevel fine sand ,"2,756.90",0.60%,FL01709001,,,,,
25,"Lochloosa fine sand, 0 to 5 percent slopes ","1,588.30",0.30%,FL01709007,,,,,
47,"Fort Meade loamy fine sand, 0 to 5 percent slopes ","1,283.30",0.30%,FL01709015,,,,,
33,"Micanopy loamy fine sand, 2 to 5 percent slopes ","1,000.40",0.20%,FL01709024,,,,,
64,Citronelle fine sand ,996.3,0.20%,FL01709018,,,,,
,,,,,,,,,
,,,,,,,,,
"Clay County, Florida (FL019)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
9,Leon fine sand ,"43,718.90",10.50%,FL01910012,,,,,
3,"Hurricane fine sand, 0 to 5 percent slopes ","31,379.20",7.50%,FL01910002,,,,,
5,"Penney fine sand, 0 to 5 percent slopes ","26,814.50",6.40%,FL01910005,,,,,
10,"Ortega fine sand, 0 to 5 percent slopes ","23,375.20",5.60%,FL01910004,,,,,
6,Mandarin fine sand ,"19,947.90",4.80%,FL01910006,,,,,
8,Sapelo fine sand ,"18,473.30",4.40%,FL01910010,,,,,
18,"Ridgewood fine sand, 0 to 5 percent slopes ","9,978.00",2.40%,FL01910003,,,,,
1,"Albany fine sand, 0 to 5 percent slopes ","9,363.10",2.20%,FL01910008,,,,,
2,"Blanton fine sand, 0 to 5 percent slopes ","6,531.80",1.60%,FL01910001,,,,,
13,Meggett fine sandy loam ,"6,555.10",1.60%,FL01910017,,,,,
47,Newnan fine sand ,"4,514.20",1.10%,FL01910009,,,,,
4,"Ocilla loamy fine sand, 0 to 5 percent slopes ","3,598.10",0.90%,FL01910015,,,,,
65,Meadowbrook sand ,"3,678.40",0.90%,FL01910014,,,,,
,,,,,,,,,
,,,,,,,,,
"Collier County Area, Florida (FL621)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Aoil ID,,,,,
7,Immokalee fine sand ,"51,399.20",6.70%,FL02111006,,,,,
21,Boca fine sand ,"26,416.70",3.40%,FL02111001,,,,,
11,Hallandale fine sand ,"22,794.20",3.00%,FL02111003,,,,,
54,Jupiter-complex ,"9,431.70",1.20%,FL02111005,,,,,
,"Jupiter, fine sands ",,,FL02111002,,,,,
,,,,,,,,,
,,,,,,,,,
"Columbia County, Florida (FL023)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
8,"Blanton fine sand, 0 to 5 percent slopes ",59985.2,0.117,FL12563003,Union,,,,
13,"Bonneau fine sand, 2 to 5 percent slopes ",31564.4,0.062,FL12563009,Union,,,,
42,"Olustee fine sand, thick surface ",31578.1,0.062,FL00302003,Baker,,,,
56,Sapelo fine sand ,28256.9,0.055,FL12563006,Union,,,,
1,"Albany fine sand, 0 to 5 percent slopes ",25684.8,0.05,FL12563002,Union,,,,
3,"Alpin fine sand, 0 to 5 percent slopes ",17125.7,0.033,FL04121001,Gilchrist,,,,
40,"Ocilla fine sand, 0 to 5 percent slopes ",12530.9,0.024,FL12563008,Union,,,,
20,"Chipley fine sand, 0 to 5 percent slopes ",6726.4,0.013,FL04724006,Hamilton,,,,
32,Leon fine sand ,5348.7,0.01,FL04121006,Gilchrist,,,,
26,Hurricane fine sand ,4828.3,0.009,FL04121004,Gilchrist,,,,
,,,,,,,,,
,,,,,,,,,
"De Soto County, Florida (FL027)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
36,Smyrna fine sand ,"56,914.40",13.90%,FL02714012,,,,,
20,Immokalee fine sand ,"49,040.60",12.00%,FL02714005,,,,,
14,Farmton fine sand ,"36,109.10",8.80%,FL02714001,,,,,
13,EauGallie fine sand ,"28,971.30",7.10%,FL02714011,,,,,
21,Malabar fine sand ,"21,572.00",5.30%,FL02714010,,,,,
3,Basinger fine sand ,"18,014.20",4.40%,FL02714006,,,,,
40,Valkaria fine sand ,"15,328.40",3.70%,FL02714008,,,,,
26,Pineda fine sand ,"11,070.90",2.70%,FL02714002,,,,,
42,Zolfo fine sand ,"10,708.30",2.60%,FL02714014,,,,,
25,Ona fine sand ,"9,012.30",2.20%,FL02714018,,,,,
41,Wabasso fine sand ,"6,428.30",1.60%,FL02714017,,,,,
6,Bradenton fine sand ,"4,441.70",1.10%,FL02714013,,,,,
,,,,,,,,,
,,,,,,,,,
"Dixie County, Florida (FL029)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
19,Wekiva occasionally flooded ,64339.1,0.135,FL07538017,Levy,,,,
17,"Leon-Leon, depressional complex ",52330.4,0.109,FL12362006,Taylor,,,,
20,"Chaires, limestone substratum complex ",31941.1,0.067,FL12362005,Taylor,,,,
9,"Otela limestone substratum complex, 0 to 5 percent slopes ",16784,0.035,FL12362016,Taylor,,,,
21,Meadowbrook fine sand ,11880.7,0.025,FL12362020,Taylor,,,,
41,Mandarin limestone substratum complex ,11229.6,0.023,FL12362014,Taylor,,,,
,"Lutterloh, limestone substratum complex ",,,FL07538026,Levy,,,,
6,Albany-complex ,9000.5,0.019,FL06734002,Lafayette,,,,
,Ridgewood complex ,,,FL12362011,Taylor,,,,
34,"Ortega complex, 0 to 5 percent slopes ",8385.5,0.018,FL12362010,Taylor,,,,
2,"Penney fine sand, 0 to 5 percent slopes ",3791.6,0.008,FL07538007,Levy,,,,
,,,,,,,,,
,,,,,,,,,
"Duval County, Florida (FL031)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
32,"Leon fine sand, 0 to 2 percent slopes ","71,226.30",12.80%,FL03116009,,,,,
14,"Boulogne fine sand, 0 to 2 percent slopes ","33,514.20",6.00%,FL03116005,,,,,
,"Wesconnett complex, depressional, 0 to 2 percent slopes ",,,FL03116024,,,,,
66,"Surrency loamy fine sand, depressional, 0 to 2 percent slopes ","25,440.80",4.60%,FL03116021,,,,,
63,"Sapelo fine sand, 0 to 2 percent slopes ","20,985.30",3.80%,FL03116015,,,,,
35,"Lynn Haven fine sand, 0 to 2 percent slopes ","16,738.70",3.00%,FL03116023,,,,,
44,"Mascotte complex, 0 to 2 percent slopes ","9,126.30",1.60%,FL03116008,,,,,
46,"Ortega fine sand, 0 to 5 percent slopes ","5,894.80",1.10%,FL03116003,,,,,
81,"Stockade fine sandy loam, depressional, 0 to 2 percent slopes ","5,758.00",1.00%,FL03116012,,,,,
2,"Albany fine sand, 0 to 5 percent slopes ","4,359.30",0.80%,FL03116010,,,,,
25,"Kershaw fine sand, 2 to 8 percent slopes ","2,127.30",0.40%,FL03116007,,,,,
36,"Mandarin fine sand, 0 to 2 percent slopes ","1,965.50",0.40%,FL03116013,,,,,
56,"Pottsburg fine sand, 0 to 2 percent slopes ","2,405.00",0.40%,FL03116011,,,,,
79,"Yulee clay, 0 to 2 percent slopes, frequently flooded ","2,126.80",0.40%,FL03116025,,,,,
12,"Blanton fine sand, 0 to 6 percent slopes ",849,0.20%,FL03116014,,,,,
23,Fripp,912.4,0.20%,FL03116019,,,,,
29,"Kureb fine sand, 2 to 8 percent slopes ",883.8,0.20%,FL03116004,,,,,
19,"Cornelia fine sand, 0 to 5 percent slopes ",749.6,0.10%,FL03116006,,,,,
80,"Goldhead,  2 to 5 percent slopes ",817.2,0.10%,FL03116018,,,,,
,,,,,,,,,
,,,,,,,,,
"Escambia County, Florida (FL033)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
54,"Troup-complex, 8 to 12 percent slopes ",48670.6,0.101,FL11357018,Santa Rosa,,,,
38,"Bonifay loamy sand, 0 to 5 percent slopes ",27236.9,0.057,FL11357012,Santa Rosa,,,,
13,"Lakeland sand, 0 to 5 percent slopes ",16822.5,0.035,FL11357021,Santa Rosa,,,,
64,"Red Bay fine sandy loam, 0 to 2 percent slopes ",7716.7,0.016,FL11357024,Santa Rosa,,,,
9,Leon sand ,4455.7,0.009,FL11357046,Santa Rosa,,,,
,"Albany soils, 0 to 5 percent slopes, occasionally flooded ",,,FL11357037,Santa Rosa,,,,
19,"Foxworth sand, 0 to 5 percent slopes ",2439.2,0.005,FL11357009,Santa Rosa,,,,
36,"Lucy loamy sand, 2 to 5 percent slopes ",2497.7,0.005,FL11357027,Santa Rosa,,,,
41,"Malbis sandy loam, 0 to 2 percent slopes ",1472.8,0.003,FL11357029,Santa Rosa,,,,
,,,,,,,,,
,,,,,,,,,
"Flagler County, Florida (FL035)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
4,Wabasso fine sand ,"20,196.50",6.10%,FL03518003,,,,,
14,Pineda fine sand ,"17,777.50",5.40%,FL03518004,,,,,
21,Smyrna fine sand ,"17,600.20",5.30%,FL03518009,,,,,
2,Riviera fine sand ,"11,655.50",3.50%,FL03518005,,,,,
40,Pomona fine sand ,"10,793.60",3.30%,FL03518019,,,,,
19,Valkaria fine sand ,"9,754.80",3.00%,FL03518020,,,,,
6,Favoretta clay ,"7,514.10",2.30%,FL03518021,,,,,
15,"Pomello fine sand, 0 to 5 percent slopes ","4,363.00",1.30%,FL03518011,,,,,
27,Cassia fine sand ,"3,532.00",1.10%,FL03518008,,,,,
20,"Orsino fine sand, 0 to 5 percent slopes ","1,910.10",0.60%,FL03518010,,,,,
37,Tuscawilla fine sand ,"2,099.10",0.60%,FL03518017,,,,,
22,"Astatula fine sand, 0 to 8 percent slopes ","1,548.00",0.50%,FL03518013,,,,,
23,"Adamsville fine sand, 0 to 3 percent slopes ","1,496.10",0.50%,FL03518014,,,,,
,,,,,,,,,
,,,,,,,,,
"Franklin County, Florida (FL037)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,Soil ID,,,,,
33,Scranton fine sand ,"46,644.00",9.10%,FL03719017,,,,,
22,Leon sand ,"25,027.40",4.90%,FL03719006,,,,,
38,Meadowbrook sand ,"9,691.00",1.90%,FL03719020,,,,,
24,Mandarin fine sand ,"5,282.50",1.00%,FL03719004,,,,,
29,"Resota fine sand, 0 to 5 percent slopes ","4,656.10",0.90%,FL03719003,,,,,
10,"Corolla sand, 0 to 5 percent slopes ","3,863.70",0.80%,FL03719009,,,,,
15,"Ortega fine sand, 0 to 5 percent slopes ","4,086.70",0.80%,FL03719010,,,,,
27,Pelham fine sand ,"4,246.40",0.80%,FL03719018,,,,,
11,"Dorovan complex, depressional ","3,227.90",0.60%,FL03719019,,,,,
37,"Tooles-complex, depressional ","3,329.30",0.60%,FL03719021,,,,,
32,Sapelo fine sand ,"2,469.90",0.50%,FL03719016,,,,,
6,"Blanton fine sand, 0 to 5 percent slopes ","1,029.40",0.20%,FL03719015,,,,,
9,Chaires sand ,"1,240.30",0.20%,FL03719005,,,,,
18,"Kershaw sand, 5 to 12 percent slopes ",697.2,0.10%,FL03719002,,,,,
19,"Kureb fine sand, 3 to 8 percent slopes ",340.1,0.10%,FL03719001,,,,,
21,Leefield sand ,635.3,0.10%,FL03719012,,,,,
35,Stilson fine sand ,728.5,0.10%,FL03719014,,,,,
,,,,,,,,,
,,,,,,,,,
"Gadsden County, Florida (FL039)",,,,,,,,,
Map Unit Symbol,Map Unit Name,Acres in AOI,Percent of AOI,,,,,,
46,"Orangeburg loamy sand, 2 to 5 percent slopes ",19390.8,0.057,FL06332011,Jackson,,,,
